stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
150,February - M021990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",4.8,17.4,,,,,02-01-1990
151,February - M021990,Andhra Pradesh,Hyderabad,,Industrial Area,3.1,7,,,,,02-01-1990
152,February - M021990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",6.2,28.5,,,,,02-01-1990
150,March - M031990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",6.3,14.7,,,,,03-01-1990
151,March - M031990,Andhra Pradesh,Hyderabad,,Industrial Area,4.7,7.5,,,,,03-01-1990
152,March - M031990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",6.4,25.7,,,,,03-01-1990
150,April - M041990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",5.4,17.1,,,,,04-01-1990
151,April - M041990,Andhra Pradesh,Hyderabad,,Industrial Area,4.7,8.7,,,,,04-01-1990
152,April - M041990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",4.2,23,,,,,04-01-1990
151,May - M051990,Andhra Pradesh,Hyderabad,,Industrial Area,4,8.9,,,,,05-01-1990
152,May - M051990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",3.6,18.6,,,,,05-01-1990
150,June - M061990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",3.9,14.1,,133,,,06-01-1990
151,June - M061990,Andhra Pradesh,Hyderabad,,Industrial Area,5.6,11.8,,82,,,06-01-1990
152,June - M061990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",3.3,19.3,,111,,,06-01-1990
150,July - M071990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",3.9,8.2,,118,,,07-01-1990
152,July - M071990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",3.5,12.1,,135,,,07-01-1990
151,July - M071990,Andhra Pradesh,Hyderabad,,Industrial Area,7.9,10.2,,80,,,07-01-1990
150,August - M081990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",4,9.9,,179,,,08-01-1990
151,August - M081990,Andhra Pradesh,Hyderabad,,Industrial Area,12.4,11.5,,58,,,08-01-1990
152,August - M081990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",4,12.3,,99,,,08-01-1990
150,September - M091990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",6.3,11.5,,270,,,09-01-1990
151,September - M091990,Andhra Pradesh,Hyderabad,,Industrial Area,44.8,13.7,,97,,,09-01-1990
152,September - M091990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",8.1,17.8,,167,,,09-01-1990
150,October - M101990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",7.7,11.3,,145,,,10-01-1990
151,October - M101990,Andhra Pradesh,Hyderabad,,Industrial Area,20.6,13.6,,75,,,10-01-1990
152,October - M101990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",20.4,27.5,,212,,,10-01-1990
150,November - M111990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",13.9,7.2,,93,,,11-01-1990
151,November - M111990,Andhra Pradesh,Hyderabad,,Industrial Area,11.2,18.6,,61,,,11-01-1990
152,November - M111990,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",22.3,35.9,,255,,,11-01-1990
152,January - M011991,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",24.5,28,,197,,,01-01-1991
150,January - M011991,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",7.2,10.4,,148,,,01-01-1991
151,January - M011991,Andhra Pradesh,Hyderabad,,Industrial Area,28.7,16.2,,77,,,01-01-1991
152,February - M021991,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",18.7,42.2,,125,,,02-01-1991
150,February - M021991,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",24.5,18,,330,,,02-01-1991
151,February - M021991,Andhra Pradesh,Hyderabad,,Industrial Area,20.4,12.6,,93,,,02-01-1991
152,March - M031991,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",5.2,41.3,,287,,,03-01-1991
150,March - M031991,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",7.5,12.2,,241,,,03-01-1991
151,March - M031991,Andhra Pradesh,Hyderabad,,Industrial Area,4.8,8.4,,85,,,03-01-1991
152,April - M041991,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",8.5,48.5,,,,,04-01-1991
150,April - M041991,Andhra Pradesh,Hyderabad,,"Residential, Rural and other Areas",9.7,12.4,,283,,,04-01-1991
